time,job ID,event type,scheduling class
97140695889,6259557440,1,1
97143181515,6259567737,0,2
97144522618,6259557819,1,0
97146324277,6259567831,0,2
97146411783,6259561162,4,0
97148662548,6259567737,1,2
97149847999,6259567946,0,2
97149918443,6259567948,0,0
97150193533,6259552485,4,1
97152697087,6259567831,1,2
97154133899,6259570072,0,0
97154261378,6259572073,0,2
97156672819,6259519683,4,2
97156672897,6259519790,5,0
97156672902,6259524536,5,0
97157831451,6259572146,0,2
97159992779,6259567946,1,2
97159992783,6259570032,0,0
97159992784,6259572128,0,2
97159992816,6259567948,1,0
97162647929,6259505052,4,2
97162647938,6259509677,1,2
97162648018,6259505114,5,0
97162648023,6259505194,5,0
97162648028,6259509677,5,2
97166123190,6259584422,0,2
97169677234,6259570072,1,0
97171739340,6253504443,5,2
97172640991,6259589991,0,2
97174750694,6259567435,0,2
97174801797,6259567806,0,1
97174804161,6259562382,0,0
97176875311,6259590097,0,0
97183514046,6259596723,0,0
97186754293,6259567435,1,2
97186754297,6259567579,0,0
97186754298,6259567702,0,0
97186754299,6259567829,0,2
97186754369,6259562382,1,0
97186801087,6259567806,1,1
97189516991,6259516445,4,0
97193860646,6259567579,1,0
97193860684,6259567702,1,0
97196354373,6259557440,4,1
97198495593,6259540151,4,1
97198497588,6259457416,4,1
97199711888,6259514013,4,2
97199712150,6259519830,5,0
97201484381,6259451577,1,1
97201484388,6259451577,5,1
97202727847,6259589991,1,2
97202727858,6259590097,1,0
97204026011,6259603556,0,0
97204029164,6259603558,0,1
97206113751,6259596723,1,0
97206185948,6259513520,4,2
97206185952,6259513980,4,0
97206185959,6259514102,1,2
97206185976,6259513671,5,0
97206185981,6259514102,5,2
97209497009,6259603556,1,0
97210609181,6259552487,0,1
97210617865,6259572103,0,2
97216718196,6259572103,1,2
97216718200,6259572174,0,0
97216718201,6259584358,0,0
97216718220,6259552487,1,1
97220142385,6259572174,1,0
97220142416,6259584358,1,0
97220217356,6259552454,4,1
97225886581,6259519136,4,0
97225886945,6259516483,4,2
97225886964,6259519751,1,2
97225886993,6259516536,5,0
97225886998,6259519751,5,2
97225887668,6259457414,4,1
97233961466,6259457420,0,1
97233966163,6259603820,0,0
97233968929,6259601760,0,2
97233974411,6259602129,0,1
97233977483,6259603554,0,1
97233979603,6259604160,0,2
97235940656,6259603556,4,0
97235940658,6259603560,0,0
97239727583,6259604160,1,2
97239727599,6259457420,1,1
97239727624,6259601760,1,2
97239727628,6259601912,0,0
97239727629,6259602069,0,2
97239727687,6259602129,1,1
97239727699,6259603554,1,1
97239727732,6259603820,1,0
97239727814,6259603560,1,0
97240732804,6259552487,4,1
97241729097,6259590097,4,0
97244841911,6259601912,1,0
97246233593,6259596723,4,0
97247117720,6259501667,4,2
97258291185,6259553160,4,0
97260057507,6259603554,4,1
97266915823,6259457418,0,1
97266918604,6259604627,0,0
97266931408,6259605864,0,0
97275687206,6259457418,1,1
97275687249,6259604627,1,0
97275691568,6259605864,1,0
97283157589,6259603560,4,0
97283157592,6259603582,0,0
97288220815,6259603582,1,0
97289725699,6259281745,4,1
97291913483,6218503334,5,1
97291915531,6259602129,4,1
97294492178,6259618945,0,1
97294492178,6259618945,1,1
97294552820,6259281393,4,1
97294552877,6259281673,5,1
97294552882,6259282095,5,1
97296938896,6259612963,0,1
97296941395,6259612967,0,1
97296943762,6259613003,0,1
97296946493,6259613270,0,2
97296954648,6259607490,0,2
97296956456,6259616009,0,0
97306871189,6259552456,4,1
97307920912,6259607490,1,2
97307920943,6259616009,1,0
97307920954,6259612963,1,1
97307920967,6259612967,1,1
97307920980,6259613003,1,1
97307921005,6259613270,1,2
97307921009,6259613342,0,0
97307921010,6259616035,0,0
97307921011,6259616119,0,2
97312956339,6259613342,1,0
97312956382,6259616035,1,0
97319898396,6259621562,0,0
97321032722,6259432628,1,0
97321033476,6259432628,5,0
97321250030,6259621853,0,0
97323878703,6259621908,0,0
97324943359,6259621562,1,0
97325036482,6259552854,0,1
97325038892,6259620313,0,2
97325041887,6259620345,0,1
97326121533,6259557566,4,2
97326125268,6259557819,5,0
97326125278,6259562382,5,0
97328659446,6259621853,1,0
97330650044,6259554148,4,2
97330650649,6259556947,5,0
97332366773,6259620345,1,1
97332366777,6259620638,0,1
97332366778,6259621166,0,1
97332366792,6259552854,1,1
97332366817,6259620313,1,2
97332366821,6259621221,0,2
97335182641,6259620638,1,1
97349157298,6259613003,4,1
97356393517,6259620706,0,0
97356410569,6259621114,0,0
97356413575,6259621855,0,1
97356416078,6259621878,0,1
97356419272,6259620739,0,1
97356423239,6259622521,0,2
97356430129,6259621562,4,0
97361668340,6259603820,4,0
97362836171,6259620706,1,0
97362836196,6259621114,1,0
97362836453,6259620739,1,1
97362839434,6259621855,1,1
97362839446,6259621878,1,1
97362839465,6259622521,1,2
97362839469,6259622715,0,0
97362839470,6259622869,0,2
97367412761,6259622715,1,0
97367413983,6259401489,1,2
97367413994,6259412550,1,0
97367414162,6259412930,1,0
97367540252,6259632389,0,0
97367556886,6259621853,4,0
97372237360,6259413127,1,2
97372237378,6259423127,1,1
97372237401,6259433997,1,2
97372237415,6259434059,1,1
97372237427,6259443831,1,1
97372237445,6259501937,1,0
97372237727,6259502228,1,0
97372244982,6259503120,1,2
97372244993,6259503725,1,0
97372245032,6259504235,1,0
97376415429,6259632389,1,0
97376417522,6259504342,1,2
97376417532,6259513239,1,0
97376417544,6259513936,1,1
97376417562,6259516518,1,0
97376417720,6259519083,1,0
97376419062,6259519134,1,2
97376419079,6259519749,1,2
97376419089,6259540081,1,0
97376419107,6259557048,1,1
97380751493,6259572103,4,2
97380751551,6259572174,5,0
97380751556,6259584358,5,0
97383895184,6259635709,0,0
97385125660,6259567829,1,2
97385125671,6259570032,1,0
97385418107,6259613007,0,1
97385422018,6259631868,0,2
97385425191,6259629032,0,2
97385441491,6259631853,0,2
97385446665,6259629034,0,2
97386603849,6259603582,4,0
97390284198,6259635709,1,0
97390293020,6259572073,1,2
97390733395,6259621855,4,1
97396539132,6259629032,1,2
97396539135,6259629379,0,0
97396540165,6259629034,1,2
97396540168,6259629091,0,0
97396540169,6259629209,0,0
97396540295,6259631853,1,2
97400436721,6259567579,4,0
97402390212,6259567435,4,2
97402390238,6259567702,5,0
97402390245,6259567829,5,2
97403688197,6259613007,1,1
97403688222,6259631868,1,2
97403688226,6259635010,0,2
97403688285,6259629091,1,0
97403688316,6259629209,1,0
97403689894,6259629379,1,0
97406448587,6259632389,4,0
97412144410,6259540081,4,0
97414341007,6259632526,0,0
97414344437,6259634935,0,0
97414348526,6259632425,0,0
97416654755,6259646397,0,0
97417869547,6259513239,4,0
97417873317,6259621878,4,1
97421758024,6259632526,1,0
97421758276,6259634935,1,0
97421758625,6259632425,1,0
97421761135,6259646397,1,0
97421931128,6259412278,4,2
97421931476,6259412550,5,0
97421931499,6259412930,5,0
97421931588,6259413127,5,2
97423658292,6259389706,4,1
97426203063,6259635709,4,0
97427055274,6259647199,0,2
97433080635,6259647199,1,2
97433080639,6259647387,0,2
97433137900,6259647640,0,0
97433141781,6258343396,4,2
97433141906,6258344025,5,0
97433141918,6258346646,5,2
97440114418,6259647640,1,0
97440215647,6259613007,4,1
97442225741,6259434059,5,1
97445997140,6259616009,4,0
97447098855,6259648711,0,1
97449341284,6259423127,4,1
97450310166,6259389808,0,1
97450326082,6259647244,0,0
97452324054,6259646397,4,0
97454807871,6259649123,0,0
97454807871,6259649123,1,0
97456427328,6259389808,1,1
97456427351,6259647244,1,0
97457294188,6259612963,4,1
97459400065,6259620313,4,2
97459400074,6259621221,1,2
97459400131,6259620706,5,0
97459400136,6259621114,5,0
97459400141,6259621221,5,2
97461125469,6259516333,4,2
97461125572,6259516518,5,0
97461125577,6259519134,5,2
97462015517,6259612967,4,1
97463145377,6259648244,0,1
97464299108,6259616035,4,0
97465224095,6259613342,4,0
97465224099,6259613270,4,2
97465224104,6259616119,1,2
97465224111,6259616119,5,2
97468983203,6259647640,4,0
97475168308,6259613035,0,1
97475215660,6259649963,0,0
97475226747,6259650118,0,0
97475250508,6259655897,0,0
97476077691,6257720019,4,1
97476078165,6259457418,4,1
97477083899,6259567946,4,2
97477083906,6259572128,1,2
97477083996,6259570032,5,0
97477084001,6259572128,5,2
97478087649,6259656251,0,0
97478087649,6259656251,1,0
97478851008,6259648244,1,1
97479859369,6259457420,4,1
97483506812,6259655897,1,0
97483506845,6259649963,1,0
97483506857,6259650118,1,0
97483506862,6259650120,0,0
97483506871,6259613035,1,1
97487223708,6259650120,1,0
97487223712,6259650122,0,0
97487225315,6259572146,1,2
97488564157,6259457422,0,1
97488613006,6259457424,0,1
97488618629,6257720040,0,1
97490993289,6259650122,1,0
97490995463,6259584422,1,2
97490995474,6259602069,1,2
97490995485,6259603558,1,1
97490995497,6259621166,1,1
97490995565,6259621908,1,0
97490995571,6259622159,0,2
97495903112,6257720040,1,1
97495903130,6259457422,1,1
97495903148,6259457424,1,1
97495903220,6259622159,1,2
97495903224,6259622470,0,2
97495903844,6259622869,1,2
97495903862,6259635010,1,2
97496093978,6259389808,4,1
97498050355,6259622470,1,2
97498050747,6259647387,1,2
97498050758,6259648711,1,1
97500217584,6259601760,4,2
97500218101,6259601912,5,0
97500218106,6259602069,5,2
97502542298,6259660873,0,1
97503622760,6259660957,0,0
97505170783,6259647199,4,2
97505170886,6259647244,5,0
97505170899,6259647387,5,2
97507782873,6259660873,1,1
97507783088,6259660957,1,0
97511525257,6259662136,0,2
97514875143,6259501937,4,0
97514878821,6259501775,4,2
97514879167,6259502228,5,0
97514879174,6259503120,5,2
97517367438,6259650120,5,0
97517368004,6259650122,5,0
97518419162,6259662136,1,2
97518419165,6259663353,0,0
97518476205,6259650118,5,0
97519460218,6259567806,4,1
97520319057,6259663700,0,2
97520366517,6259527455,4,1
97520366520,6259527484,0,1
97522200376,6259607490,4,2
97523246595,6259655897,4,0
97524146615,6259663944,0,2
97526217311,6259527484,1,1
97527469735,6259443526,4,1
97527469884,6259443555,5,1
97527469889,6259443694,5,1
97527469894,6259443831,5,1
97532142821,6259513361,4,1
97532142824,6259513516,0,1
97533141329,6259663944,1,2
97533141333,6259664145,0,0
97533141334,6259664389,0,2
97534455617,6259461232,4,2
97534455924,6259461360,5,0
97539784389,6259513516,1,1
97539971221,6259629091,4,0
97541198560,6259660957,4,0
97541198562,6259661437,0,0
97542189428,6259668655,0,2
97543639795,6259663240,0,2
97544472212,6259503122,4,2
97544472251,6259503725,5,0
97544472256,6259504235,5,0
97544472261,6259504342,5,2
97545410762,6259629034,4,2
97545410978,6259629209,5,0
97547949731,6259661437,1,0
97547949754,6259668655,1,2
97547949758,6259669019,0,0
97547949759,6259669097,0,0
97547953211,6259663353,1,0
97548165154,6259670177,0,2
97552035336,6259663240,1,2
97552035340,6259663522,0,0
97552035341,6259663702,0,0
97552035342,6259663907,0,2
97552039203,6259664145,1,0
97558072630,6259603558,4,1
97559084107,6259663522,1,0
97559084347,6259663702,1,0
97559089871,6259663907,1,2
97559089888,6259669019,1,0
97559090046,6259669097,1,0
97563586170,6259670177,1,2
97566869367,6259457422,4,1
97570256633,6259675515,0,0
97570261475,6259300956,4,1
97572471447,6259664304,0,2
97572508812,6259664340,0,2
97572514311,6259670221,0,2
97579514027,6259664304,1,2
97579514056,6259664340,1,2
97579514079,6259670221,1,2
97579514083,6259671138,0,0
97579514187,6259675515,1,0
97586322224,6259671138,1,0
97589123808,6259337586,4,0
97592296905,6259622521,4,2
97592297171,6259622715,5,0
97592297176,6259622869,5,2
97593799399,6259457424,4,1
97599863593,6259433667,4,2
97599863632,6259433734,5,0
97599863637,6259433848,5,0
97599863642,6259433997,5,2
97601068348,6259337140,4,2
97601068375,6259337207,5,0
97601068380,6259338001,5,2
97602309674,6259672168,0,0
97605655760,6259675515,4,0
97610985850,6259672168,1,0
97611854555,6259242202,4,2
97611855307,6259242647,5,0
97613029737,6259604160,4,2
97613029889,6259604627,5,0
97613029900,6259605864,5,0
97618161571,6259409944,4,2
97628428514,6259679558,0,2
97628543145,6259289177,4,1
97633727686,6258856834,4,2
97633727835,6258857209,5,0
97633727840,6258858324,5,0
97633727845,6258866712,5,2
97637861445,6259679558,1,2
97637861449,6259680424,0,0
97637861450,6259682673,0,2
97639254915,6259056888,4,2
97639254991,6259057789,5,0
97639255225,6259661437,4,0
97639255228,6259661439,0,0
97644093530,6259680424,1,0
97644114205,6259682673,1,2
97645647463,6259695069,0,0
97651055933,6259661439,1,0
97651151868,6259695381,0,2
97656857076,6259289212,0,1
97656925213,6259687554,0,2
97656931372,6259689582,0,2
97658077072,6259695069,1,0
97659212741,6259698734,0,0
97659217853,6259527484,4,1
97660726439,6259698767,0,2
97664660939,6259687554,1,2
97664660943,6259689627,0,0
97664661057,6259689582,1,2
97664661068,6259289212,1,1
97664725789,6259649963,4,0
97668380334,6259689627,1,0
97668382073,6259695381,1,2
97668382077,6259695508,0,0
97668382078,6259698730,0,2
97668382196,6259698734,1,0
97684919974,6259261460,4,2
97684920564,6259262677,5,0
97684922251,6259006162,4,1
97687730514,6259703531,0,1
97691636139,6259690702,0,1
97691642530,6259690804,0,0
97691644968,6259695619,0,0
97691649132,6259698765,0,2
97692788743,6259695069,4,0
97693933486,6259661439,4,0
97693933536,6259668655,4,2
97693936936,6259669019,5,0
97693936941,6259669097,5,0
97693936954,6259670177,5,2
97695306911,6259703531,1,1
97699998125,6259706374,0,0
97701222410,6259698765,1,2
97701222414,6259698893,0,0
97701222415,6259702202,0,2
97701222437,6259690702,1,1
97701222480,6259690804,1,0
97701222559,6259695619,1,0
97701416063,6259698734,4,0
97707601445,6259706374,1,0
97707601548,6259698893,1,0
97717248894,6259631868,4,2
97717248964,6259632526,5,0
97717248969,6259634935,5,0
97717248974,6259635010,5,2
97720374250,6259703529,0,1
97720438046,6259698963,0,0
97720441002,6259704663,0,2
97720452860,6259704697,0,0
97720456797,6259704750,0,2
97720461950,6259707382,0,2
97722583513,6259133264,5,1
97722656386,6257597534,4,2
97722656421,6257597688,5,0
97722657442,6259461540,4,2
97724244771,6259513516,4,1
97728862691,6259714295,0,1
97730067458,6259704663,1,2
97730067462,6259704738,0,0
97730067463,6259705756,0,0
97730067464,6259707380,0,2
97730067987,6259704697,1,0
97730068017,6259707382,1,2
97730068046,6259698963,1,0
97730068056,6259703529,1,1
97730068075,6259704750,1,2
97730068079,6259706271,0,0
97730068080,6259707418,0,2
97730077236,6259695508,1,0
97730476418,6259715448,0,0
97731898995,6259706374,4,0
97736798030,6259704738,1,0
97736798216,6259705756,1,0
97736807959,6259706271,1,0
97736808953,6259714295,1,1
97742250903,6259552854,4,1
97743375950,6259715448,1,0
97743384346,6259698730,1,2
97749675783,6257573123,4,1
97751996012,6259702202,1,2
97752189739,6259710544,0,2
97752211796,6259707479,0,0
97756961197,6259707380,1,2
97756961208,6259707418,1,2
97761937288,6259710544,1,2
97761937292,6259710639,0,0
97761937293,6259713226,0,0
97761937294,6259714210,0,2
97761937379,6259707479,1,0
97765993353,6259552856,0,1
97766055413,6257573163,0,1
97767164332,6259710639,1,0
97767164374,6259713226,1,0
97769860761,6259715448,4,0
97770903209,6259670221,4,2
97770903448,6259671138,5,0
97770903453,6259672168,5,0
97770903961,6259690702,4,1
97772178065,6257573163,1,1
97772178083,6259552856,1,1
97772185923,6259714210,1,2
97772562543,6259648244,4,1
97781299982,6259660873,4,1
97791502216,6258913057,4,2
97791502355,6258914673,5,0
97791502360,6258914686,5,0
97791502365,6258914995,5,2
97803522582,6259703529,4,1
97804740747,6259733674,0,0
97804834722,6259320785,5,1
97806236514,6259687554,4,2
97806237478,6259689627,5,0
97809637531,6259733674,1,0
97810123453,6259734739,0,1
97811545602,6259663702,4,0
97814149070,6259735440,0,1
97815143144,6259734739,1,1
97817562910,6259735440,1,1
97817764027,6259629032,4,2
97817764636,6259629379,5,0
97819318797,6259736559,0,0
97819324444,6259663240,4,2
97819324482,6259663522,5,0
97819324487,6259663907,5,2
97822373547,6259066847,5,1
97822900292,6259737134,0,1
97823021092,6258905020,4,1
97823021095,6258905262,0,1
97824019572,6259736559,1,0
97824024509,6259663700,1,2
97824280629,6259649123,5,0
97824590395,6259737738,0,1
97828276731,6259737134,1,1
97828277201,6258905262,1,1
97828277230,6259698767,1,2
97828277233,6259710642,0,0
97828277234,6259715568,0,2
97829930223,6259656251,5,0
97832483266,6259737738,1,1
97832567447,6259733676,0,2
97832574459,6259729820,0,1
97832577613,6259729841,0,1
97832580243,6259734741,0,1
97832583958,6259735436,0,1
97832586533,6259735438,0,1
97832588665,6259735442,0,1
97832590489,6259738045,0,0
97835535810,6259648711,4,1
97836739107,6259031271,4,0
97842688616,6259613035,4,1
97844051051,6259028981,4,2
97844051067,6259032015,5,0
97846970470,6259738045,1,0
97846970509,6259729820,1,1
97846970539,6259729841,1,1
97846970556,6259735436,1,1
97846970579,6259733676,1,2
97846970583,6259735433,0,0
97846970584,6259736514,0,0
97846970585,6259737132,0,2
97846970630,6259734741,1,1
97846970643,6259735438,1,1
97846970655,6259735442,1,1
97852842007,6259735433,1,0
97852842032,6259736514,1,0
97855982487,6259733674,4,0
97855982489,6259733678,0,0
97861725688,6259411104,5,0
97862396677,6259737088,0,1
97862529538,6259737130,0,0
97862538461,6259737806,0,2
97863785061,6259733678,1,0
97863795417,6259664389,1,2
97863795473,6259710642,1,0
97865501288,6259736559,4,0
97869215186,6259737130,1,0
97869215214,6259737806,1,2
97869215219,6259737967,0,0
97869215220,6259738128,0,0
97869215378,6259737088,1,1
97872687230,6259749484,0,2
97872778032,6259006111,4,1
97873813161,6259737967,1,0
97873813192,6259738128,1,0
97880301148,6259749484,1,2
97880301152,6259750099,0,0
97882743704,6259734739,4,1
97883834031,6259753481,0,2
97883909428,6259753484,0,0
97886189208,6258567693,4,2
97886189265,6258567817,5,0
97886189270,6258568998,5,2
97888200761,6259710544,4,2
97888200860,6259710639,5,0
97888200865,6259713226,5,0
97888200870,6259714210,5,2
97893632163,6259753484,1,0
97894171206,6259689582,4,2
97894171591,6259690804,5,0
97894171604,6259695619,5,0
97894173413,6259738045,4,0
97899384372,6259756811,0,0
97899390605,6259613037,0,1
97899393711,6259742761,0,2
97899417312,6259749452,0,1
97905449897,6259734741,4,1
97906844180,6259742761,1,2
97906844184,6259745135,0,0
97906844185,6259748281,0,0
97906845193,6259613037,1,1
97906845213,6259749452,1,1
97906845362,6259756811,1,0
97907545354,6259735442,4,1
97914741994,6259745135,1,0
97914742037,6259748281,1,0
97917110488,6259289212,4,1
97919591063,6257719855,4,1
97922100490,6259735438,4,1
97925041525,6259662136,4,2
97925041821,6259663353,5,0
97925041826,6259663700,5,2
97932575131,6259750069,0,2
97941911501,6259750069,1,2
97941911505,6259753510,0,0
